RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.511918928624596,0.00043348576078114295,9.528,0.001
103.01408386,-0.45511112,-16.25549959026921,0.00046693500148848406,9.412,0.001
103.00787354000002,-0.456,-16.050842389435992,0.0004919708110536168,10.427,0.001
102.89054108,-0.19208333,-16.068466774890986,0.0004930908862003433,10.226,
103.15512848,-0.32233334,-15.784283400938914,0.0005274414153479304,10.543,0.004
103.04795837000002,-0.32122222,-15.346382354124826,0.0005755808137821699,11.203,0.001
103.15296173,-0.24211112,-15.473295221722971,0.0005643661657283322,11.566,0.003
103.0769577,-0.33875,-15.34913167227857,0.0005765091607196118,11.664,0.004
103.11645508,-0.22863889,-15.299552473207804,0.0005826566244974969,11.92,0.004
102.87779236,-0.31630555,-15.320648919502375,0.0005799426877149061,11.88,0.003
103.16696167,-0.28741667,-15.201386545113147,0.0005917203298646891,11.54,0.004
103.01887512,-0.32730556,-15.614341528976933,0.0005470494474896312,12.191,0.003
102.95658112,-0.35436112,-14.950783622357646,0.000613978631160465,11.469,0.006
103.04141998,-0.39222223,-14.907073987810044,0.0006184613293884278,12.641,0.005
103.07862854,-0.39244443,-14.91289899773508,0.0006172079802513425,12.596,0.005
102.86245728,-0.26002777,-14.688327521143956,0.0006377370654541152,12.388,0.003
103.0572052,-0.32227778,-14.689186916276197,0.0006340396372306844,12.385,0.004
103.04929352000002,-0.30702779,-14.477973107684644,0.0006469834380547595,12.81,0.005
103.05558014,-0.32788888,-14.419015178687848,0.0006528821725953963,12.316,0.003
103.06874847,-0.32805556,-14.19353257096503,0.0006683683826003039,13.383,0.004
103.15853882,-0.27594444,-14.227401133149673,0.0006676484939300498,13.534,0.005
102.96583557,-0.33777779,-14.28552595829726,0.0006624126491993657,13.394,0.014
102.86791992,-0.27372223,-14.006279016254323,0.0006795876890275947,13.718,0.004
103.14537811,-0.25716668,-13.913846479112099,0.000683955541899641,13.532,0.009
102.87308502,-0.41411111,-14.214156495332741,0.0006665889725895494,13.941,0.008
103.15650177000002,-0.28436112,-13.89058830877918,0.0006836592960360672,13.714,0.005
102.88141632,-0.44044444,-13.764912977354467,0.0006899010793464741,13.868,0.007
103.08791351,-0.264,-13.499625060507032,0.0006996677836945721,13.511,0.005
102.91625214,-0.42830557,-13.294781940315183,0.0007051426842437279,14.438,0.031
102.96387482,-0.40591668,-7.168537678392399,0.0007378997118012283,14.777,0.032
103.00450134,-0.40102778,-10.705037398122748,0.0007341422184471964,14.756,0.029
103.04929352000002,-0.38980556,-7.898601875389617,0.0007365848108080191,13.537,0.007
103.08333588,-0.37566668,-11.962339460594098,0.0007291634192669116,13.533,0.01
102.94579315,-0.39627779,,0.0007387841788585965,14.669,0.049
103.08108139,-0.3925,-14.900762333667988,0.0006189831181737134,14.228,0.013
103.02979459,-0.40591668,-13.498873422269046,0.0006982182344795317,14.208,0.041
103.06874847,-0.42447222,-11.180317141885578,0.0007336907862818812,14.95,0.107
103.02716827,-0.42625,-10.846221228744241,0.0007348268789696066,14.611,0.015
103.02716827,-0.42625,-10.846221228744241,0.0007348268789696066,14.611,0.015
103.00450134,-0.44888888,-13.291960728082127,0.0007006996872477046,14.887,0.015
103.09837723,-0.36330554,-11.213089936085241,0.0007319211921991303,14.728,0.017
103.11837288,-0.35263889,-9.188306404264505,0.0007370017967733314,15.021,0.03
103.11837288,-0.35263889,-9.188306404264505,0.0007370017967733314,15.021,0.03
103.08108139,-0.37830555,-11.652739498835478,0.0007310264550090536,15.409,0.071
103.08108139,-0.37830555,-11.652739498835478,0.0007310264550090536,15.409,0.071
103.05958048,-0.38805556,-9.102817936622682,0.0007378228659961564,15.784,0.094
103.05958048,-0.38805556,-9.102817936622682,0.0007378228659961564,15.784,0.094
103.07275415,-0.38175,-9.086237945745005,0.0007373278396488182,16.028,0.183
103.07275415,-0.38175,-9.086237945745005,0.0007373278396488182,16.028,0.183
103.05841829,-0.38566668,-10.55266727093968,0.0007348215759703147,16.253,0.257
103.05841829,-0.38566668,-10.55266727093968,0.0007348215759703147,16.253,0.257
103.04691466,-0.39022223,-10.275142889640868,0.0007356613682871363,16.525,0.328
103.04691466,-0.39022223,-10.275142889640868,0.0007356613682871363,16.525,0.328
103.03838348,-0.3955,-13.064696171954317,0.0007118134265091744,16.772,0.41
103.03838348,-0.3955,-13.064696171954317,0.0007118134265091744,16.772,0.41
103.03076172,-0.40036112,-10.421051231781338,0.0007350655642994352,17.033,0.494
103.03076172,-0.40036112,-10.421051231781338,0.0007350655642994352,17.033,0.494
