RA,DEC,Instrumental_B,InstrumentalB_err,Known_B,KnownB_err
103.02062225000002,-0.30508333,-16.211195082419266,0.0005353378455470523,9.535,0.001
103.01408386,-0.45511112,-15.47152717954689,0.0006769937318252986,11.202,0.001
103.00787354000002,-0.456,-15.658484093751293,0.000640755439570954,10.739,0.001
102.89054108,-0.19208333,-15.479379916197708,0.0006764557570712868,11.183,0.001
103.15512848,-0.32233334,-14.937362863134705,0.0007761626637867784,12.222,0.005
103.04795837000002,-0.32122222,-14.061944796312487,0.0009034189413607227,13.287,0.001
103.15296173,-0.24211112,-14.76269042777827,0.0008053739603664448,12.429,0.004
103.0769577,-0.33875,-14.727821245653725,0.0008116944239642249,12.417,0.004
103.11645508,-0.22863889,-14.736993109973861,0.0008102656048907236,12.427,0.004
102.87779236,-0.31630555,-14.545697710024436,0.0008415198122904523,12.707,0.006
103.16696167,-0.28741667,-13.840176840515355,0.0009330626988152757,13.523,0.005
103.01887512,-0.32730556,-14.936335359667845,0.0007739256041715336,12.428,0.002
102.95658112,-0.35436112,-12.717022191925322,0.001020606846971631,14.915,0.009
103.04141998,-0.39222223,-14.32466535313133,0.0008733638124261176,12.896,0.004
103.07862854,-0.39244443,-14.190692440127703,0.0008901258910287892,13.047,0.004
102.86245728,-0.26002777,-13.02197763259566,0.0010044383661209255,14.372,0.002
103.0572052,-0.32227778,-13.118437586080642,0.0009920127368721705,14.214,0.005
103.04929352000002,-0.30702779,-13.023965194390808,0.000991622468569366,14.353,0.006
103.05558014,-0.32788888,-12.138823868294576,0.0010406048398499148,15.307,0.004
103.06874847,-0.32805556,-12.91412989331164,0.0010084379691558537,14.381,0.006
103.15853882,-0.27594444,-13.22382952309214,0.0009890524591682052,14.022,0.006
102.96583557,-0.33777779,-12.865610620311754,0.0010127326660564389,14.602,0.028
102.86791992,-0.27372223,-12.8903923654874,0.0010138225085824582,14.47,0.004
103.14537811,-0.25716668,-12.5237742891838,0.0010295620945657412,14.789,0.008
102.87308502,-0.41411111,-13.094035666174129,0.0010004940319530025,14.475,0.007
103.15650177000002,-0.28436112,-12.650530117083017,0.0010238759682413558,14.685,0.007
102.88141632,-0.44044444,-12.660659188153172,0.001026203650401752,14.578,0.01
103.08791351,-0.264,-11.438413825175573,0.0010588574927255813,16.034,0.015
102.91625214,-0.42830557,-12.32257586941397,0.0010407598465953637,14.794,0.037
102.96387482,-0.40591668,-5.278883655890092,0.0010829600402592265,15.151,0.048
103.00450134,-0.40102778,-9.985522955221981,0.0010746762715012083,15.167,0.043
103.04929352000002,-0.38980556,-7.347489366940123,0.0010790099334581722,15.375,0.055
103.08333588,-0.37566668,-10.728327193184647,0.001071132588757465,16.22,0.106
102.94579315,-0.39627779,,0.0010839679136774715,15.14,0.072
103.08108139,-0.3925,-14.191428644104294,0.0008916882486580618,14.546,0.018
103.02979459,-0.40591668,-11.626477266239672,0.001057811516335848,15.197,0.094
103.06874847,-0.42447222,-8.982248248330482,0.001080180406937469,15.752,0.128
103.02716827,-0.42625,-10.182021816298112,0.0010763811208069705,14.775,0.019
103.02716827,-0.42625,-10.182021816298112,0.0010763811208069705,14.775,0.019
103.00450134,-0.44888888,-11.83930438917021,0.001043313305068478,15.032,0.018
103.09837723,-0.36330554,-9.374049860682293,0.0010745037914241934,15.024,0.022
103.11837288,-0.35263889,-8.233054507637931,0.0010792420363623263,15.305,0.037
103.11837288,-0.35263889,-8.233054507637931,0.0010792420363623263,15.305,0.037
103.08108139,-0.37830555,-10.221217337572867,0.001074856055182497,15.679,0.08
103.08108139,-0.37830555,-10.221217337572867,0.001074856055182497,15.679,0.08
103.05958048,-0.38805556,-7.906553445238167,0.001080385911392614,16.019,0.102
103.05958048,-0.38805556,-7.906553445238167,0.001080385911392614,16.019,0.102
103.07275415,-0.38175,-8.885173216791944,0.0010797651214750628,16.363,0.185
103.07275415,-0.38175,-8.885173216791944,0.0010797651214750628,16.363,0.185
103.05841829,-0.38566668,-9.9902372494394,0.0010759047689707234,16.595,0.25
103.05841829,-0.38566668,-9.9902372494394,0.0010759047689707234,16.595,0.25
103.04691466,-0.39022223,-10.028737336013414,0.0010756088378872741,16.87,0.306
103.04691466,-0.39022223,-10.028737336013414,0.0010756088378872741,16.87,0.306
103.03838348,-0.3955,-12.262484791735204,0.0010408441474569316,17.125,0.376
103.03838348,-0.3955,-12.262484791735204,0.0010408441474569316,17.125,0.376
103.03076172,-0.40036112,-8.130283797454009,0.0010793367838374686,17.387,0.442
103.03076172,-0.40036112,-8.130283797454009,0.0010793367838374686,17.387,0.442
