RA,DEC,Instrumental_V,InstrumentalV_err,Known_V,KnownV_err
103.02062225000002,-0.30508333,-16.492435097032633,0.00042356201698003966,9.538,0.001
103.01408386,-0.45511112,-16.656042077015755,0.00040219143132018463,10.026,
103.00787354000002,-0.456,-16.30787203037707,0.00044193365751792285,10.537,0.001
102.89054108,-0.19208333,-16.52001192905543,0.000422514693501537,10.574,
103.15512848,-0.32233334,-16.27954585071598,0.00045042823996868544,11.118,0.004
103.04795837000002,-0.32122222,-15.696560865620393,0.0005133956083857263,11.93,
103.15296173,-0.24211112,-15.97355944973852,0.0004862622017955502,11.878,0.002
103.0769577,-0.33875,-15.546925131052676,0.0005287784137546592,11.954,0.003
103.11645508,-0.22863889,-15.688191568367841,0.0005174823318123499,12.113,0.003
102.87779236,-0.31630555,-15.706144532947429,0.0005144267320580556,12.185,0.003
103.16696167,-0.28741667,-15.893851761728026,0.000494973879120362,12.238,0.003
103.01887512,-0.32730556,-15.646465980511447,0.0005188228796864351,12.271,0.002
102.95658112,-0.35436112,-15.62643706956222,0.0005211405009022394,12.723,0.005
103.04141998,-0.39222223,-15.008176143465075,0.0005748940628116561,12.732,0.003
103.07862854,-0.39244443,-15.126270011189636,0.0005643298027902145,12.754,0.003
102.86245728,-0.26002777,-15.353035959465469,0.0005495327686200945,13.089,0.002
103.0572052,-0.32227778,-15.066881329250322,0.0005699113771814353,13.068,0.003
103.04929352000002,-0.30702779,-14.857075415943438,0.0005841916643641673,13.385,0.004
103.05558014,-0.32788888,-15.08913160280293,0.0005679431493241058,13.398,0.003
103.06874847,-0.32805556,-14.75992659407109,0.0005928446348824703,13.749,0.004
103.15853882,-0.27594444,-14.311765897477356,0.0006213667206857858,13.707,0.004
102.96583557,-0.33777779,-14.626853959515527,0.0006015238533207326,13.811,0.014
102.86791992,-0.27372223,-14.208902728475486,0.0006270943172972792,14.001,0.004
103.14537811,-0.25716668,-14.270207558848341,0.0006240028088232272,13.975,0.007
102.87308502,-0.41411111,-14.452022087512695,0.0006075557016958909,14.137,0.005
103.15650177000002,-0.28436112,-14.168860950241237,0.0006270861923438814,14.09,0.003
102.88141632,-0.44044444,-13.88381644360635,0.0006328564754392693,14.162,0.005
103.08791351,-0.264,-14.253708138272874,0.0006238306260775692,14.439,0.004
102.91625214,-0.42830557,-13.35448556421785,0.0006491302171035399,14.556,0.025
102.96387482,-0.40591668,,0.0006779211970683121,14.887,0.024
103.00450134,-0.40102778,-11.410214572138447,0.0006739052457447007,14.882,0.022
103.04929352000002,-0.38980556,-9.526524353227524,0.0006769529608523304,14.277,0.007
103.08333588,-0.37566668,-12.162798738203602,0.0006695967737998288,14.578,0.009
102.94579315,-0.39627779,,0.0006784982780581734,14.84,0.038
103.08108139,-0.3925,-15.099754133014878,0.0005673970968870242,14.302,0.011
103.02979459,-0.40591668,-14.102443664973892,0.0006259811654569563,14.588,0.041
103.06874847,-0.42447222,-11.685098122782628,0.0006725490176552346,15.216,0.089
103.02716827,-0.42625,-10.938505450698791,0.00067378846996299,14.668,0.013
103.02716827,-0.42625,-10.938505450698791,0.00067378846996299,14.668,0.013
103.00450134,-0.44888888,-13.595797108246867,0.0006378716823831091,14.941,0.012
103.09837723,-0.36330554,-11.55298775067197,0.0006736205695140684,14.787,0.014
103.11837288,-0.35263889,,0.0006806143945078715,15.095,0.025
103.11837288,-0.35263889,,0.0006806143945078715,15.095,0.025
103.08108139,-0.37830555,-11.931636277786872,0.0006711016483423155,15.459,0.06
103.08108139,-0.37830555,-11.931636277786872,0.0006711016483423155,15.459,0.06
103.05958048,-0.38805556,-9.913008241005388,0.0006775472869365351,15.833,0.08
103.05958048,-0.38805556,-9.913008241005388,0.0006775472869365351,15.833,0.08
103.07275415,-0.38175,-10.285458094429563,0.0006772814269763174,16.077,0.154
103.07275415,-0.38175,-10.285458094429563,0.0006772814269763174,16.077,0.154
103.05841829,-0.38566668,-10.985657270125422,0.0006751388548590651,16.303,0.22
103.05841829,-0.38566668,-10.985657270125422,0.0006751388548590651,16.303,0.22
103.04691466,-0.39022223,-10.966948484447627,0.0006756368085012517,16.575,0.282
103.04691466,-0.39022223,-10.966948484447627,0.0006756368085012517,16.575,0.282
103.03838348,-0.3955,-13.549563515898196,0.0006463887177591445,16.828,0.35
103.03838348,-0.3955,-13.549563515898196,0.0006463887177591445,16.828,0.35
103.03076172,-0.40036112,-11.06069416062378,0.0006747998193354332,17.088,0.416
103.03076172,-0.40036112,-11.06069416062378,0.0006747998193354332,17.088,0.416
