RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.635395644739294,0.0003992866010614578,9.528,0.001
103.01408386,-0.45511112,-16.408392504772536,0.0004245792875989744,9.412,0.001
103.00787354000002,-0.456,-16.197016182721157,0.00044677438443494437,10.427,0.001
102.89054108,-0.19208333,-16.204466096901168,0.0004495212677670426,10.226,
103.15512848,-0.32233334,-15.943894465279678,0.00047585478617588985,10.543,0.004
103.04795837000002,-0.32122222,-15.504743773387213,0.0005164409834814864,11.203,0.001
103.15296173,-0.24211112,-15.609373222291179,0.0005090764174104271,11.566,0.003
103.0769577,-0.33875,-15.492528822365175,0.0005180574767568084,11.664,0.004
103.11645508,-0.22863889,-15.441718124226135,0.0005238625588753477,11.92,0.004
102.87779236,-0.31630555,-15.423429239900805,0.0005246212074590568,11.88,0.003
103.16696167,-0.28741667,-15.341369114941019,0.0005315490387597379,11.54,0.004
103.01887512,-0.32730556,-15.701793241762978,0.0004986916564805147,12.191,0.003
102.95658112,-0.35436112,-15.029330568080292,0.0005539386824531286,11.469,0.006
103.04141998,-0.39222223,-15.005621103688643,0.0005554432490218127,12.641,0.005
103.07862854,-0.39244443,-14.993228638684997,0.0005555947489724758,12.596,0.005
102.86245728,-0.26002777,-14.712158561509746,0.0005754378854455113,12.388,0.003
103.0572052,-0.32227778,-14.717198789345048,0.0005725736693511485,12.385,0.004
103.04929352000002,-0.30702779,-14.461645074820684,0.0005843769951335441,12.81,0.005
103.05558014,-0.32788888,-14.428794084110068,0.0005874093270354388,12.316,0.003
103.06874847,-0.32805556,-14.122398888842465,0.0006020389591950803,13.383,0.004
103.15853882,-0.27594444,-14.14463743339426,0.0006021123833961778,13.534,0.005
102.96583557,-0.33777779,-14.220104671858074,0.0005980495696557257,13.394,0.014
102.86791992,-0.27372223,-13.930564344870412,0.0006108065519946158,13.718,0.004
103.14537811,-0.25716668,-13.865941643203644,0.0006124210869048286,13.532,0.009
102.87308502,-0.41411111,-14.16052520377267,0.0006002461469346318,13.941,0.008
103.15650177000002,-0.28436112,-13.810717994112691,0.0006128044208962327,13.714,0.005
102.88141632,-0.44044444,-13.66434419227864,0.0006163285981497634,13.868,0.007
103.08791351,-0.264,-13.40993673872399,0.0006232607663802374,13.511,0.005
102.91625214,-0.42830557,-13.191783992735544,0.0006270997219018261,14.438,0.031
102.96387482,-0.40591668,-8.443311636053352,0.000647825969224359,14.777,0.032
103.00450134,-0.40102778,-11.05258287939115,0.0006444681654073104,14.756,0.029
103.04929352000002,-0.38980556,-9.471859271133926,0.0006461744232297378,13.537,0.007
103.08333588,-0.37566668,-11.81050067654306,0.0006419273014701587,13.533,0.01
102.94579315,-0.39627779,-8.04442942286302,0.0006488245389348423,14.669,0.049
103.08108139,-0.3925,-14.984591716924262,0.0005571241708443929,14.228,0.013
103.02979459,-0.40591668,-13.398435049826332,0.0006222381811804414,14.208,0.041
103.06874847,-0.42447222,-11.136030348459713,0.0006448745749930228,14.95,0.107
103.02716827,-0.42625,-10.960551831424612,0.0006451236947848047,14.611,0.015
103.02716827,-0.42625,-10.960551831424612,0.0006451236947848047,14.611,0.015
103.00450134,-0.44888888,-13.224518923581405,0.0006224869394174333,14.887,0.015
103.09837723,-0.36330554,-10.955978712376037,0.0006436454834322502,14.728,0.017
103.11837288,-0.35263889,-10.038595365350973,0.0006471061681723252,15.021,0.03
103.11837288,-0.35263889,-10.038595365350973,0.0006471061681723252,15.021,0.03
103.08108139,-0.37830555,-11.297786734978105,0.0006434313665096745,15.409,0.071
103.08108139,-0.37830555,-11.297786734978105,0.0006434313665096745,15.409,0.071
103.05958048,-0.38805556,-7.167847316210702,0.0006476178841562672,15.784,0.094
103.05958048,-0.38805556,-7.167847316210702,0.0006476178841562672,15.784,0.094
103.07275415,-0.38175,-9.000664229666743,0.0006467573381254956,16.028,0.183
103.07275415,-0.38175,-9.000664229666743,0.0006467573381254956,16.028,0.183
103.05841829,-0.38566668,-10.579906488343607,0.0006456377503438691,16.253,0.257
103.05841829,-0.38566668,-10.579906488343607,0.0006456377503438691,16.253,0.257
103.04691466,-0.39022223,-10.919574288537994,0.0006448133625538131,16.525,0.328
103.04691466,-0.39022223,-10.919574288537994,0.0006448133625538131,16.525,0.328
103.03838348,-0.3955,-13.172990661937138,0.000627181705254828,16.772,0.41
103.03838348,-0.3955,-13.172990661937138,0.000627181705254828,16.772,0.41
103.03076172,-0.40036112,-10.630024241341122,0.00064506686812553,17.033,0.494
103.03076172,-0.40036112,-10.630024241341122,0.00064506686812553,17.033,0.494
