RA,DEC,Instrumental_B,InstrumentalB_err,Known_B,KnownB_err
103.02062225000002,-0.30508333,-16.258597518172053,0.00052128103743715,9.535,0.001
103.01408386,-0.45511112,-15.516309831566337,0.000657134353421059,11.202,0.001
103.00787354000002,-0.456,-15.705017784933277,0.0006222858625479918,10.739,0.001
102.89054108,-0.19208333,-15.515845821760447,0.0006584535756487443,11.183,0.001
103.15512848,-0.32233334,-14.95001166133287,0.0007559259090319158,12.222,0.005
103.04795837000002,-0.32122222,-14.037904566071635,0.000880288833010174,13.287,0.001
103.15296173,-0.24211112,-14.778366103814854,0.0007835377217106435,12.429,0.004
103.0769577,-0.33875,-14.722332938340559,0.0007923422020736409,12.417,0.004
103.11645508,-0.22863889,-14.729706254851429,0.0007925277883093967,12.427,0.004
102.87779236,-0.31630555,-14.560127906253392,0.0008182549750613954,12.707,0.006
103.16696167,-0.28741667,-13.808296639527748,0.0009061539676848881,13.523,0.005
103.01887512,-0.32730556,-14.934175257277357,0.0007575207530502552,12.428,0.002
102.95658112,-0.35436112,-12.63873156969561,0.0009833236135225036,14.915,0.009
103.04141998,-0.39222223,-14.285387563579977,0.0008526979658905187,12.896,0.004
103.07862854,-0.39244443,-14.137702203507898,0.0008702732642148301,13.047,0.004
102.86245728,-0.26002777,-12.970725952441569,0.00096960426062779,14.372,0.002
103.0572052,-0.32227778,-13.046293901834353,0.0009615720166459948,14.214,0.005
103.04929352000002,-0.30702779,-12.963344506991564,0.0009578582391365774,14.353,0.006
103.05558014,-0.32788888,-12.177813091303202,0.0009973808246189887,15.307,0.004
103.06874847,-0.32805556,-12.908963222786669,0.000972556129715153,14.381,0.006
103.15853882,-0.27594444,-13.171662870587452,0.0009563064411528846,14.022,0.006
102.96583557,-0.33777779,-12.80596539861075,0.0009759490274275115,14.602,0.028
102.86791992,-0.27372223,-12.772340375614178,0.0009790611918263788,14.47,0.004
103.14537811,-0.25716668,-12.52603661297093,0.0009897931572843202,14.789,0.008
102.87308502,-0.41411111,-13.040414391660207,0.0009667078781909861,14.475,0.007
103.15650177000002,-0.28436112,-12.564290771474218,0.000987521581131382,14.685,0.007
102.88141632,-0.44044444,-12.608982419345658,0.000988083849060354,14.578,0.01
103.08791351,-0.264,-11.518307490111809,0.0010168983947636322,16.034,0.015
102.91625214,-0.42830557,-12.248529699265948,0.0010012777375911915,14.794,0.037
102.96387482,-0.40591668,,0.001036818742379172,15.151,0.048
103.00450134,-0.40102778,-9.722898363209582,0.0010306676278035603,15.167,0.043
103.04929352000002,-0.38980556,,0.001033022625918005,15.375,0.055
103.08333588,-0.37566668,-10.392416653465528,0.0010271643681041504,16.22,0.106
102.94579315,-0.39627779,-8.068910699837119,0.0010357216573910653,15.14,0.072
103.08108139,-0.3925,-14.147501925209578,0.0008705529487266103,14.546,0.018
103.02979459,-0.40591668,-11.607210520908724,0.0010150209727744198,15.197,0.094
103.06874847,-0.42447222,-9.58801075192447,0.0010330564091632893,15.752,0.128
103.02716827,-0.42625,-9.742690398637755,0.0010308584191357896,14.775,0.019
103.02716827,-0.42625,-9.742690398637755,0.0010308584191357896,14.775,0.019
103.00450134,-0.44888888,-11.872188388067201,0.0010021889492779258,15.032,0.018
103.09837723,-0.36330554,-9.614162005123637,0.0010295458837816177,15.024,0.022
103.11837288,-0.35263889,-9.148960705019329,0.0010327604159252354,15.305,0.037
103.11837288,-0.35263889,-9.148960705019329,0.0010327604159252354,15.305,0.037
103.08108139,-0.37830555,-9.832034350258793,0.0010294051807047825,15.679,0.08
103.08108139,-0.37830555,-9.832034350258793,0.0010294051807047825,15.679,0.08
103.05958048,-0.38805556,-8.72110827478299,0.001033556686365016,16.019,0.102
103.05958048,-0.38805556,-8.72110827478299,0.001033556686365016,16.019,0.102
103.07275415,-0.38175,-6.795561588497697,0.0010341475055643447,16.363,0.185
103.07275415,-0.38175,-6.795561588497697,0.0010341475055643447,16.363,0.185
103.05841829,-0.38566668,-9.356519549338637,0.0010315591026003042,16.595,0.25
103.05841829,-0.38566668,-9.356519549338637,0.0010315591026003042,16.595,0.25
103.04691466,-0.39022223,-8.8695091802631,0.0010307358306788199,16.87,0.306
103.04691466,-0.39022223,-8.8695091802631,0.0010307358306788199,16.87,0.306
103.03838348,-0.3955,-12.221460560608106,0.0010002615086991311,17.125,0.376
103.03838348,-0.3955,-12.221460560608106,0.0010002615086991311,17.125,0.376
103.03076172,-0.40036112,-9.506815593563877,0.001031628464830184,17.387,0.442
103.03076172,-0.40036112,-9.506815593563877,0.001031628464830184,17.387,0.442
