RA,DEC,Instrumental_I,InstrumentalI_err,Known_I,KnownI_err
103.02062225000002,-0.30508333,-15.827892271248704,0.0005745471505499136,9.519,0.001
103.01408386,-0.45511112,-16.071407038031037,0.0005358624274273293,8.876,0.001
103.00787354000002,-0.456,-15.432155583870372,0.0006368322966715334,10.305,0.001
102.89054108,-0.19208333,-15.651719188337996,0.0006023119780721901,9.905,0.001
103.15512848,-0.32233334,-15.611283980108306,0.0006091911550822408,10.016,0.005
103.04795837000002,-0.32122222,-15.313578001927304,0.0006540397976050089,10.549,0.001
103.15296173,-0.24211112,-15.02156745641722,0.0006963923186322846,11.267,0.005
103.0769577,-0.33875,-14.854129775633258,0.0007190349050817514,11.384,0.004
103.11645508,-0.22863889,-14.709927078081753,0.0007375683272526037,11.725,0.006
102.87779236,-0.31630555,-14.842641829440433,0.0007232714388665147,11.577,0.003
103.16696167,-0.28741667,-15.163046863566992,0.0006765472728991655,10.89,0.005
103.01887512,-0.32730556,-14.988247296190123,0.000701344731633297,12.105,0.003
102.95658112,-0.35436112,-15.424112883985973,0.0006399386219519289,10.318,0.007
103.04141998,-0.39222223,-14.05070778520625,0.0008099328345983556,12.533,0.006
103.07862854,-0.39244443,-14.21739971419658,0.0007916235269981788,12.416,0.007
102.86245728,-0.26002777,-14.660254880875865,0.0007438437086204151,11.726,0.003
103.0572052,-0.32227778,-14.65137513115354,0.0007416815463089169,11.712,0.022
103.04929352000002,-0.30702779,-14.24283113795383,0.0007836343352117118,12.316,0.006
103.05558014,-0.32788888,-14.885479460383202,0.0007121947412285281,11.314,0.004
103.06874847,-0.32805556,-14.98478348099355,0.0007007544534020418,13.031,0.005
103.15853882,-0.27594444,-13.285162892196347,0.0008552257969585087,13.333,0.007
102.96583557,-0.33777779,-13.865087520669931,0.0008222010662464137,12.99,0.025
102.86791992,-0.27372223,-13.367902871778481,0.0008543182369326445,13.387,0.019
103.14537811,-0.25716668,-13.48221561094232,0.000845723274232998,13.101,0.009
102.87308502,-0.41411111,-13.594769671566645,0.0008464186842138507,13.698,0.009
103.15650177000002,-0.28436112,-13.424614070400033,0.0008463850162001888,13.272,0.006
102.88141632,-0.44044444,-13.031871155900586,0.0008783442626306633,13.551,0.01
103.08791351,-0.264,-13.939762007615514,0.0008131975940690679,12.629,0.007
102.91625214,-0.42830557,-12.307237413588458,0.0009008095313800846,14.329,0.045
102.96387482,-0.40591668,,0.0009279582247663488,14.662,0.044
103.00450134,-0.40102778,-10.727774012757667,0.0009189949427849608,14.623,0.041
103.04929352000002,-0.38980556,-9.652321696294084,0.0009182592452158022,12.8,0.007
103.08333588,-0.37566668,-11.306879093733738,0.000907646600358719,12.518,0.012
102.94579315,-0.39627779,,0.0009281285872579871,14.493,0.067
103.08108139,-0.3925,-14.194759201244159,0.0007941380109503258,14.121,0.018
103.02979459,-0.40591668,-13.711102649222761,0.0008348976107729387,13.849,0.046
103.06874847,-0.42447222,-11.369011673975002,0.0009147727404258829,14.687,0.127
103.02716827,-0.42625,-10.877137470209302,0.0009204306212262345,14.529,0.02
103.02716827,-0.42625,-10.877137470209302,0.0009204306212262345,14.529,0.02
103.00450134,-0.44888888,-12.763564567197673,0.000879724536374779,14.815,0.021
103.09837723,-0.36330554,-10.864014373316609,0.0009079368915079746,14.647,0.022
103.11837288,-0.35263889,-9.317468191644977,0.0009149055586395245,14.938,0.035
103.11837288,-0.35263889,-9.317468191644977,0.0009149055586395245,14.938,0.035
103.08108139,-0.37830555,-11.174379847581237,0.0009102699228243918,15.35,0.08
103.08108139,-0.37830555,-11.174379847581237,0.0009102699228243918,15.35,0.08
103.05958048,-0.38805556,-8.523071803279317,0.0009206598662550958,15.727,0.106
103.05958048,-0.38805556,-8.523071803279317,0.0009206598662550958,15.727,0.106
103.07275415,-0.38175,-6.743501216918725,0.0009190053222179838,15.968,0.205
103.07275415,-0.38175,-6.743501216918725,0.0009190053222179838,15.968,0.205
103.05841829,-0.38566668,-10.350678707707974,0.0009161170662282443,16.191,0.286
103.05841829,-0.38566668,-10.350678707707974,0.0009161170662282443,16.191,0.286
103.04691466,-0.39022223,-10.714059914625519,0.0009171809320348636,16.46,0.36
103.04691466,-0.39022223,-10.714059914625519,0.0009171809320348636,16.46,0.36
103.03838348,-0.3955,-11.885912891351856,0.0009066936416521442,16.698,0.444
103.03838348,-0.3955,-11.885912891351856,0.0009066936416521442,16.698,0.444
103.03076172,-0.40036112,-10.81729243805762,0.0009171325374722692,16.958,0.529
103.03076172,-0.40036112,-10.81729243805762,0.0009171325374722692,16.958,0.529
