RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.512347607223585,0.0004335263366574992,9.528,0.001
103.01408386,-0.45511112,-16.254722281880575,0.000466966611440794,9.412,0.001
103.00787354000002,-0.456,-16.04942646855003,0.0004922475996032832,10.427,0.001
102.89054108,-0.19208333,-16.066206958797178,0.0004934670108623999,10.226,
103.15512848,-0.32233334,-15.785819826971913,0.0005274494995596537,10.543,0.004
103.04795837000002,-0.32122222,-15.345833921243777,0.0005756305154774609,11.203,0.001
103.15296173,-0.24211112,-15.470585291309005,0.0005643248188110187,11.566,0.003
103.0769577,-0.33875,-15.3503253903684,0.0005764827600146316,11.664,0.004
103.11645508,-0.22863889,-15.30127632956203,0.000582565277524322,11.92,0.004
102.87779236,-0.31630555,-15.324591134000913,0.0005797434677539318,11.88,0.003
103.16696167,-0.28741667,-15.197401213698639,0.0005923025923430563,11.54,0.004
103.01887512,-0.32730556,-15.612317379058485,0.0005470716491336092,12.191,0.003
102.95658112,-0.35436112,-14.953494240564778,0.0006142503963166789,11.469,0.006
103.04141998,-0.39222223,-14.905822655063446,0.0006186003499482864,12.641,0.005
103.07862854,-0.39244443,-14.90878706120952,0.0006173960513105674,12.596,0.005
102.86245728,-0.26002777,-14.687120133622717,0.0006377459115926796,12.388,0.003
103.0572052,-0.32227778,-14.691722887932588,0.0006340583426041963,12.385,0.004
103.04929352000002,-0.30702779,-14.488276686417114,0.0006468594022698188,12.81,0.005
103.05558014,-0.32788888,-14.42549937895505,0.0006526537659664279,12.316,0.003
103.06874847,-0.32805556,-14.195882527068095,0.000668304207912971,13.383,0.004
103.15853882,-0.27594444,-14.220133293419948,0.0006681346168547736,13.534,0.005
102.96583557,-0.33777779,-14.293144936877315,0.0006627085377560972,13.394,0.014
102.86791992,-0.27372223,-14.011613333660817,0.0006792281948504606,13.718,0.004
103.14537811,-0.25716668,-13.922761277974828,0.0006837286785415629,13.532,0.009
102.87308502,-0.41411111,-14.21550965610372,0.0006665242835562063,13.941,0.008
103.15650177000002,-0.28436112,-13.884268066302853,0.0006838375777288522,13.714,0.005
102.88141632,-0.44044444,-13.761429365771713,0.0006899093395682771,13.868,0.007
103.08791351,-0.264,-13.499360019968208,0.0006997510512766512,13.511,0.005
102.91625214,-0.42830557,-13.288300877905934,0.0007054999239182956,14.438,0.031
102.96387482,-0.40591668,,0.0007383573168659043,14.777,0.032
103.00450134,-0.40102778,-10.7485080458508,0.0007346536534394138,14.756,0.029
103.04929352000002,-0.38980556,-8.37851074105995,0.0007365961726607883,13.537,0.007
103.08333588,-0.37566668,-11.94332017479728,0.0007291692029595086,13.533,0.01
102.94579315,-0.39627779,-8.09571795790575,0.0007396644359469884,14.669,0.049
103.08108139,-0.3925,-14.894906530474339,0.000619235350270095,14.228,0.013
103.02979459,-0.40591668,-13.499482050794215,0.0006981350981958941,14.208,0.041
103.06874847,-0.42447222,-11.078070511038604,0.0007338499808186804,14.95,0.107
103.02716827,-0.42625,-10.621000741482966,0.0007349948529086408,14.611,0.015
103.02716827,-0.42625,-10.621000741482966,0.0007349948529086408,14.611,0.015
103.00450134,-0.44888888,-13.273927141217307,0.0007010426709889055,14.887,0.015
103.09837723,-0.36330554,-11.239074364733494,0.000732096065010973,14.728,0.017
103.11837288,-0.35263889,-9.04373729567016,0.0007373375811188184,15.021,0.03
103.11837288,-0.35263889,-9.04373729567016,0.0007373375811188184,15.021,0.03
103.08108139,-0.37830555,-11.6700418202293,0.0007308336763347841,15.409,0.071
103.08108139,-0.37830555,-11.6700418202293,0.0007308336763347841,15.409,0.071
103.05958048,-0.38805556,-9.200687298433113,0.0007378159977170668,15.784,0.094
103.05958048,-0.38805556,-9.200687298433113,0.0007378159977170668,15.784,0.094
103.07275415,-0.38175,-9.315627470378143,0.0007370689092268023,16.028,0.183
103.07275415,-0.38175,-9.315627470378143,0.0007370689092268023,16.028,0.183
103.05841829,-0.38566668,-10.693999590579049,0.0007348432047760089,16.253,0.257
103.05841829,-0.38566668,-10.693999590579049,0.0007348432047760089,16.253,0.257
103.04691466,-0.39022223,-10.344584826691722,0.0007355510227523104,16.525,0.328
103.04691466,-0.39022223,-10.344584826691722,0.0007355510227523104,16.525,0.328
103.03838348,-0.3955,-13.037979330528893,0.0007120463324540773,16.772,0.41
103.03838348,-0.3955,-13.037979330528893,0.0007120463324540773,16.772,0.41
103.03076172,-0.40036112,-10.318058795502816,0.0007349824261802453,17.033,0.494
103.03076172,-0.40036112,-10.318058795502816,0.0007349824261802453,17.033,0.494
