RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.636101593054146,0.00039915436539195626,9.528,0.001
103.01408386,-0.45511112,-16.41054811992107,0.000424574386060647,9.412,0.001
103.00787354000002,-0.456,-16.19679484375773,0.0004465726445781586,10.427,0.001
102.89054108,-0.19208333,-16.207982636449305,0.00044914086208159383,10.226,
103.15512848,-0.32233334,-15.943846432155969,0.0004757480383811192,10.543,0.004
103.04795837000002,-0.32122222,-15.505366282996063,0.0005164579986579072,11.203,0.001
103.15296173,-0.24211112,-15.610171370443258,0.0005089545045297515,11.566,0.003
103.0769577,-0.33875,-15.49247965520549,0.0005179908402292814,11.664,0.004
103.11645508,-0.22863889,-15.441609776997522,0.000523854535221109,11.92,0.004
102.87779236,-0.31630555,-15.427202012949826,0.0005244832493150594,11.88,0.003
103.16696167,-0.28741667,-15.344613912056442,0.0005310655338303452,11.54,0.004
103.01887512,-0.32730556,-15.704201194537122,0.0004985088694191518,12.191,0.003
102.95658112,-0.35436112,-15.02309329280836,0.0005537255721824865,11.469,0.006
103.04141998,-0.39222223,-15.004252330111418,0.0005553709172132538,12.641,0.005
103.07862854,-0.39244443,-14.999291507111804,0.0005553859152234083,12.596,0.005
102.86245728,-0.26002777,-14.716161771955152,0.0005753161142851181,12.388,0.003
103.0572052,-0.32227778,-14.718664866904643,0.0005725618999500575,12.385,0.004
103.04929352000002,-0.30702779,-14.46416870557071,0.0005843178129694615,12.81,0.005
103.05558014,-0.32788888,-14.429326487649732,0.0005875756638707987,12.316,0.003
103.06874847,-0.32805556,-14.117920899096301,0.0006020431421300984,13.383,0.004
103.15853882,-0.27594444,-14.150240332035548,0.0006016522842934364,13.534,0.005
102.96583557,-0.33777779,-14.215733238808948,0.0005977536419103603,13.394,0.014
102.86791992,-0.27372223,-13.92207116946911,0.0006111189880403107,13.718,0.004
103.14537811,-0.25716668,-13.854998445471667,0.0006125446636357696,13.532,0.009
102.87308502,-0.41411111,-14.15510025004451,0.0006004105295453354,13.941,0.008
103.15650177000002,-0.28436112,-13.810117723346181,0.0006126923970575149,13.714,0.005
102.88141632,-0.44044444,-13.673285723298935,0.0006165481482562686,13.868,0.007
103.08791351,-0.264,-13.419738482269645,0.0006231673794848494,13.511,0.005
102.91625214,-0.42830557,-13.195840529147107,0.0006266920968672241,14.438,0.031
102.96387482,-0.40591668,,0.0006474226343634565,14.777,0.032
103.00450134,-0.40102778,-11.147302726885368,0.0006439300828042934,14.756,0.029
103.04929352000002,-0.38980556,-9.120157412835582,0.0006461187996361132,13.537,0.007
103.08333588,-0.37566668,-11.782607900387696,0.0006418349891205237,13.533,0.01
102.94579315,-0.39627779,-8.047741361820785,0.0006480814158567163,14.669,0.049
103.08108139,-0.3925,-14.985160001397915,0.0005568636143503169,14.228,0.013
103.02979459,-0.40591668,-13.411458895094597,0.0006223841514446788,14.208,0.041
103.06874847,-0.42447222,-11.064511523455543,0.0006448475193376403,14.95,0.107
103.02716827,-0.42625,-11.018194593042898,0.0006449086113230166,14.611,0.015
103.02716827,-0.42625,-11.018194593042898,0.0006449086113230166,14.611,0.015
103.00450134,-0.44888888,-13.230895478199557,0.0006221396427346005,14.887,0.015
103.09837723,-0.36330554,-11.105423648184873,0.0006434535058058286,14.728,0.017
103.11837288,-0.35263889,-9.725411131832546,0.0006468644004398376,15.021,0.03
103.11837288,-0.35263889,-9.725411131832546,0.0006468644004398376,15.021,0.03
103.08108139,-0.37830555,-11.294415319090032,0.0006435206108027201,15.409,0.071
103.08108139,-0.37830555,-11.294415319090032,0.0006435206108027201,15.409,0.071
103.05958048,-0.38805556,-9.2162008800823,0.0006475993040533595,15.784,0.094
103.05958048,-0.38805556,-9.2162008800823,0.0006475993040533595,15.784,0.094
103.07275415,-0.38175,-8.32328161433547,0.000647115164409664,16.028,0.183
103.07275415,-0.38175,-8.32328161433547,0.000647115164409664,16.028,0.183
103.05841829,-0.38566668,-10.690963918492915,0.0006455522879036485,16.253,0.257
103.05841829,-0.38566668,-10.690963918492915,0.0006455522879036485,16.253,0.257
103.04691466,-0.39022223,-10.849739168488268,0.0006447490064050788,16.525,0.328
103.04691466,-0.39022223,-10.849739168488268,0.0006447490064050788,16.525,0.328
103.03838348,-0.3955,-13.168540833884897,0.0006271152472658791,16.772,0.41
103.03838348,-0.3955,-13.168540833884897,0.0006271152472658791,16.772,0.41
103.03076172,-0.40036112,-10.801042588785656,0.0006451008429156295,17.033,0.494
103.03076172,-0.40036112,-10.801042588785656,0.0006451008429156295,17.033,0.494
