RA,DEC,Instrumental_V,InstrumentalV_err,Known_V,KnownV_err
103.02062225000002,-0.30508333,-16.19515217623433,0.0004618590751868242,9.538,0.001
103.01408386,-0.45511112,-16.564952398058814,0.0004157771770253379,10.026,
103.00787354000002,-0.456,-16.264645086179,0.00045113177504595234,10.537,0.001
102.89054108,-0.19208333,-16.448415102347333,0.0004346196485388847,10.574,
103.15512848,-0.32233334,-16.16471746692602,0.00046711464668471996,11.118,0.004
103.04795837000002,-0.32122222,-15.421582852908246,0.0005463764425331137,11.93,
103.15296173,-0.24211112,-15.901907688374239,0.0004985142603221668,11.878,0.002
103.0769577,-0.33875,-15.362788412698317,0.0005524885143035845,11.954,0.003
103.11645508,-0.22863889,-15.620812750248357,0.0005298915561641246,12.113,0.003
102.87779236,-0.31630555,-15.686690843859308,0.0005222570261440789,12.185,0.003
103.16696167,-0.28741667,-15.835315719245076,0.0005053606520248213,12.238,0.003
103.01887512,-0.32730556,-15.40909196791221,0.0005478538843749076,12.271,0.002
102.95658112,-0.35436112,-15.479703004391428,0.0005413397105995857,12.723,0.005
103.04141998,-0.39222223,-14.950425286440023,0.0005872163194243073,12.732,0.003
103.07862854,-0.39244443,-15.086284331175207,0.0005747502082763356,12.754,0.003
102.86245728,-0.26002777,-15.359839981931536,0.0005559668062688112,13.089,0.002
103.0572052,-0.32227778,-14.927784340737166,0.0005891115795533981,13.068,0.003
103.04929352000002,-0.30702779,-14.701638908866318,0.0006028025700892479,13.385,0.004
103.05558014,-0.32788888,-14.916464097452309,0.0005889444325678214,13.398,0.003
103.06874847,-0.32805556,-14.732197851893954,0.0006031178303958182,13.749,0.004
103.15853882,-0.27594444,-14.309147244700803,0.0006295455473785174,13.707,0.004
102.96583557,-0.33777779,-14.607485477036647,0.0006121638967774668,13.811,0.014
102.86791992,-0.27372223,-14.21893998424095,0.0006367389805476947,14.001,0.004
103.14537811,-0.25716668,-14.28184357446037,0.0006321693862191074,13.975,0.007
102.87308502,-0.41411111,-14.484538301189005,0.0006173218574775563,14.137,0.005
103.15650177000002,-0.28436112,-14.186408739141186,0.0006349622289551029,14.09,0.003
102.88141632,-0.44044444,-13.949765623527862,0.0006426951587095674,14.162,0.005
103.08791351,-0.264,-14.263180913674422,0.0006324523670595362,14.439,0.004
102.91625214,-0.42830557,-13.367184580993472,0.0006615765446431888,14.556,0.025
102.96387482,-0.40591668,,0.0006913271263312124,14.887,0.024
103.00450134,-0.40102778,-11.681727104486285,0.000685602981885272,14.882,0.022
103.04929352000002,-0.38980556,-10.299790824844832,0.0006891046039570372,14.277,0.007
103.08333588,-0.37566668,-12.185334751772945,0.000681400975837928,14.578,0.009
102.94579315,-0.39627779,-7.543468668008916,0.0006922161224524561,14.84,0.038
103.08108139,-0.3925,-15.076365578611874,0.000576991909914266,14.302,0.011
103.02979459,-0.40591668,-14.11398120323353,0.0006358439606361229,14.588,0.041
103.06874847,-0.42447222,-11.626191812889335,0.0006836468995462735,15.216,0.089
103.02716827,-0.42625,-11.163596026318004,0.0006863518311270159,14.668,0.013
103.02716827,-0.42625,-11.163596026318004,0.0006863518311270159,14.668,0.013
103.00450134,-0.44888888,-13.564887462498945,0.0006482339847998711,14.941,0.012
103.09837723,-0.36330554,-11.572675196196434,0.0006843660858096667,14.787,0.014
103.11837288,-0.35263889,-10.319548169374393,0.0006905988999655299,15.095,0.025
103.11837288,-0.35263889,-10.319548169374393,0.0006905988999655299,15.095,0.025
103.08108139,-0.37830555,-12.051105225809508,0.0006829022072380472,15.459,0.06
103.08108139,-0.37830555,-12.051105225809508,0.0006829022072380472,15.459,0.06
103.05958048,-0.38805556,-10.293216973130448,0.0006898529602452555,15.833,0.08
103.05958048,-0.38805556,-10.293216973130448,0.0006898529602452555,15.833,0.08
103.07275415,-0.38175,-8.55570368480164,0.0006908024584728259,16.077,0.154
103.07275415,-0.38175,-8.55570368480164,0.0006908024584728259,16.077,0.154
103.05841829,-0.38566668,-11.005184107190466,0.0006877132813332869,16.303,0.22
103.05841829,-0.38566668,-11.005184107190466,0.0006877132813332869,16.303,0.22
103.04691466,-0.39022223,-10.550608555427374,0.0006886296673104674,16.575,0.282
103.04691466,-0.39022223,-10.550608555427374,0.0006886296673104674,16.575,0.282
103.03838348,-0.3955,-13.544277490554283,0.0006574733869252135,16.828,0.35
103.03838348,-0.3955,-13.544277490554283,0.0006574733869252135,16.828,0.35
103.03076172,-0.40036112,-10.94759992087134,0.0006876409647027019,17.088,0.416
103.03076172,-0.40036112,-10.94759992087134,0.0006876409647027019,17.088,0.416
