Ra (deg),Dec (deg),g,gErr,i,iErr
209.397542,-9.752132,11.223,0.02,10.771,0.076
209.318113,-9.627305,16.077,0.029,14.936,0.056
209.360342,-9.411171,15.534,0.072,14.891,0.064
209.344599,-9.354614,16.072,0.057,15.411,0.068
209.137084,-9.480872,14.154,0.051,13.547,0.034
209.21396,-9.422863,13.238,0.062,12.625,0.034
209.246385,-9.4099,15.611,0.06,15.045,0.067
209.318917,-9.456286,13.69,0.048,11.862,0.047
209.442814,-9.517508,12.974,0.053,12.78,0.52
209.482814,-9.41469,14.944,0.062,14.213,0.068
209.499338,-9.693505,12.341,0.025,11.313,0.052
209.512912,-9.590211,12.507,0.046,11.963,0.041
209.173385,-9.611714,15.806,0.072,15.111,0.06
209.278555,-9.735194,14.777,0.014,14.074,0.037
